tau_shelf,buffer_mult,category,seed,duration_hr,severity,R_buffer,R_reconfig,R_null,data_class
336.0,1.0,D1,3141500026,226.60667335916594,0.7647060041847665,0.42307809903823007,0.7413738301309523,0.42307809903823007,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500027,1053.7785411181785,0.5838314355878191,0.5850498686156715,0.8122642404582232,0.5850498686156715,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500028,1257.7099875885342,0.6620859031015945,0.4868548990120492,0.7715177973962705,0.4868548990120492,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500029,89.05275907456787,0.5629822888724128,0.6414036883834591,0.8291013245016922,0.6414036883834591,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500000,123.8847185280154,0.39750673119355406,0.7288685685974103,0.8764226784569283,0.7291844937992606,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500001,380.0025249706349,0.8419959785618836,0.3849828940140414,0.7234179616602359,0.3849937153751142,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500002,1026.145905232949,0.7332672976063588,0.5496060886566796,0.7913436728567405,0.5566984547417962,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500003,739.6798094867412,0.9452162597520086,0.3174715979501907,0.6939745869471042,0.31898168362157375,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500004,598.307019525019,0.7443784459650544,0.4392689264230788,0.7564471486677858,0.47357809449681043,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500005,707.5847918782703,0.7028151792541779,0.43086711479905776,0.7485201923418168,0.43089479344770615,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500006,454.43219646364776,0.32450577949745835,0.8262253352669341,0.9170961102382815,0.8285625308732099,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500007,1304.1502400793968,0.5317976221456646,0.5600051168209635,0.8068747091096642,0.5644592162403074,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500008,644.113921392527,0.46227183774587316,0.681710114220289,0.8579127092054307,0.6951799645361221,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500009,899.763156413535,0.9042087027239574,0.4950946832421417,0.7608266740531181,0.49598901542372364,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500010,1406.0222339634852,0.5401848786037575,0.6812643087961904,0.8560164270915964,0.7055460035459713,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500011,273.98162106534147,0.4896512937759735,0.6892402953959316,0.8563194140185334,0.6897332524223854,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500012,403.45589872006605,0.42455264860926245,0.785179394821451,0.8956646835887189,0.7852760211529741,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500013,1232.3615592886422,0.6419036013116965,0.5139180687872758,0.7826831494655765,0.5141251835230842,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500014,841.243907394657,0.779121705726282,0.5462050551737043,0.7867421093514773,0.5498200851853061,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500015,1097.918917029275,0.609975804064369,0.6218440625196262,0.8243105470541113,0.6225313359841258,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500016,1180.6428338621943,0.8282034833218654,0.34431713399143493,0.7091456084774435,0.3443241545051663,SYNTHETIC/physics-forward-model
